commit_datetime,total_num_issuers
2021-10-18T13:41:03-06:00,276
2021-10-18T13:38:37-06:00,275
2021-10-15T15:36:46-06:00,274
2021-10-15T12:55:40-06:00,273
2021-10-15T10:13:14-06:00,272
2021-10-13T13:28:51-06:00,271
2021-10-12T17:49:48-06:00,270
2021-10-12T17:37:41-06:00,269
2021-10-12T17:34:41-06:00,268
2021-10-12T17:29:49-06:00,267
2021-10-12T17:18:02-06:00,266
2021-10-12T17:15:50-06:00,265
2021-10-12T16:08:20-06:00,264
2021-10-12T15:41:24-06:00,263
2021-10-12T15:10:23-06:00,262
2021-10-11T11:21:10-06:00,261
2021-10-11T11:04:48-06:00,261
2021-10-11T10:57:24-06:00,260
2021-10-11T10:54:14-06:00,259
2021-10-11T10:51:00-06:00,258
2021-10-11T10:42:16-06:00,257
2021-10-11T10:38:40-06:00,256
2021-10-11T10:36:46-06:00,255
2021-10-11T10:29:15-06:00,254
2021-10-11T10:28:39-06:00,255
2021-10-11T10:27:30-06:00,254
2021-10-08T16:37:20-06:00,253
2021-10-08T16:33:28-06:00,252
2021-10-08T15:25:12-06:00,251
2021-10-08T15:10:12-06:00,250
2021-10-08T14:49:14-06:00,249
2021-10-05T10:41:45-06:00,250
2021-10-05T10:37:59-06:00,249
2021-10-05T10:34:20-06:00,248
2021-10-05T08:13:37-06:00,247
2021-10-04T07:28:53-06:00,246
2021-10-04T07:22:20-06:00,245
2021-10-04T07:09:15-06:00,244
2021-10-04T07:06:13-06:00,243
2021-10-04T06:59:40-06:00,242
2021-10-04T06:57:09-06:00,241
2021-10-04T06:53:47-06:00,240
2021-10-04T06:49:13-06:00,239
2021-10-04T06:46:54-06:00,238
2021-09-29T17:04:31-06:00,237
2021-09-28T13:06:01-06:00,236
2021-09-28T13:03:40-06:00,235
2021-09-25T13:26:11-06:00,234
2021-09-24T18:07:17-06:00,234
2021-09-24T18:05:46-06:00,233
2021-09-24T17:58:00-06:00,232
2021-09-24T17:45:55-06:00,231
2021-09-24T17:31:46-06:00,230
2021-09-24T17:28:04-06:00,230
2021-09-24T17:25:14-06:00,229
2021-09-24T17:23:41-06:00,228
2021-09-24T17:22:02-06:00,227
2021-09-24T17:20:18-06:00,226
2021-09-24T17:18:34-06:00,225
2021-09-24T17:16:22-06:00,224
2021-09-24T17:12:28-06:00,223
2021-09-24T17:10:46-06:00,222
2021-09-24T17:07:20-06:00,221
2021-09-24T16:57:29-06:00,220
2021-09-23T21:15:04-06:00,219
2021-09-23T21:13:11-06:00,218
2021-09-23T21:03:00-06:00,217
2021-09-23T20:52:44-06:00,216
2021-09-23T20:04:09-06:00,215
2021-09-23T19:56:59-06:00,214
2021-09-23T19:32:51-06:00,213
2021-09-23T19:16:42-06:00,212
2021-09-23T18:50:45-06:00,211
2021-09-19T16:44:08-06:00,209
2021-09-19T16:40:26-06:00,208
2021-09-19T16:31:06-06:00,207
2021-09-19T16:25:10-06:00,206
2021-09-19T16:22:33-06:00,205
2021-09-16T17:37:26-06:00,204
2021-09-16T17:32:57-06:00,203
2021-09-16T17:31:33-06:00,202
2021-09-16T17:30:07-06:00,201
2021-09-16T17:28:11-06:00,200
2021-09-16T17:26:27-06:00,199
2021-09-16T17:24:54-06:00,198
2021-09-16T17:22:04-06:00,197
2021-09-16T17:19:51-06:00,196
2021-09-16T17:16:17-06:00,195
2021-09-16T17:14:13-06:00,194
2021-09-16T16:48:20-06:00,193
2021-09-15T09:44:07-06:00,192
2021-09-13T14:13:02-06:00,191
2021-09-13T14:10:11-06:00,190
2021-09-13T13:59:14-06:00,189
2021-09-13T13:56:43-06:00,188
2021-09-13T13:55:02-06:00,187
2021-09-13T13:53:38-06:00,186
2021-09-13T13:21:24-06:00,185
2021-09-13T13:15:30-06:00,184
2021-09-13T13:14:04-06:00,183
2021-09-13T13:11:36-06:00,182
2021-09-13T13:09:46-06:00,181
2021-09-13T13:03:53-06:00,180
2021-09-13T13:00:07-06:00,179
2021-09-10T09:21:52-06:00,178
2021-09-08T18:56:40-06:00,177
2021-09-08T18:52:53-06:00,176
2021-09-08T18:27:09-06:00,173
2021-09-07T21:53:58-06:00,172
2021-09-07T21:46:00-06:00,171
2021-09-07T21:43:48-06:00,170
2021-09-07T21:42:10-06:00,169
2021-09-07T21:40:21-06:00,168
2021-09-07T21:38:52-06:00,167
2021-09-07T21:37:22-06:00,166
2021-09-07T21:06:21-06:00,166
2021-09-07T20:10:32-06:00,165
2021-08-31T13:28:48-06:00,164
2021-08-31T13:26:03-06:00,163
2021-08-31T13:23:30-06:00,162
2021-08-26T11:30:00-06:00,161
2021-08-26T10:59:31-06:00,160
2021-08-25T07:30:01-06:00,159
2021-08-25T07:28:11-06:00,158
2021-08-20T16:19:50-06:00,157
2021-08-20T16:13:59-06:00,156
2021-08-18T18:07:39-06:00,155
2021-08-18T18:06:11-06:00,154
2021-08-18T17:57:20-06:00,153
2021-08-18T17:50:30-06:00,153
2021-08-16T11:03:44-06:00,152
2021-08-13T15:28:12-06:00,151
2021-08-13T15:06:50-06:00,150
2021-08-13T15:03:04-06:00,149
2021-08-09T14:44:05-06:00,148
2021-08-09T14:41:52-06:00,147
2021-08-04T09:48:31-04:00,146
2021-07-30T14:43:50-04:00,145
2021-07-23T14:42:20-06:00,8
2021-07-21T19:13:37-06:00,1302
2021-07-21T18:47:05-06:00,8
2021-07-21T16:25:33-06:00,7
2021-07-21T08:27:16-06:00,6
2021-07-19T09:01:07-06:00,3
2021-07-07T11:36:34-06:00,2

